Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.853250250202545,0.37212571543327644,0.37932446264073694,0.3756906077348066,0.7884745170583848
Random Forest,0.8233212600676738,0.3367537915456599,0.5340839303991811,0.41306154759548785,0.8141528468604388
XGBoost,0.8775198970595244,0.4485679709560307,0.22763561924257933,0.3020097772949484,0.8154291069397248
