Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8531311061335367,0.3717781566542975,0.3794268167860798,0.3755635479458994,0.7884266799311265
Random Forest,0.8006124005147024,0.3112568424475638,0.5878198567041966,0.4070018780340881,0.8046145148175851
