Model,Accuracy,Precision,Recall,F1-Score,AUC-ROC
Logistic Regression,0.8531191917266359,0.3716378964271377,0.3790174002047083,0.3752913752913753,0.7884735261159026
Random Forest,0.6098150884048992,0.21438337435056057,0.8827021494370522,0.3449806988419305,0.811397437439303
